"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
6.14,6.14,1,1,1,0,0,-0.46899502915536,13.8851066475267,
6.16,6.16,1,1,1,0,0,-0.468884432738286,16.4102014997329,
6.18,6.18,1,1,1,0,0,-0.468777025169669,0.657178450009506,
6.2,6.2,1,1,1,0,0,-0.46866958779873,-8.18710759804088,
6.22,6.22,1,1,1,0,0,-0.468563282916029,-6.71528267987153,
6.24,6.24,1,1,1,0,0,-0.468459690044633,-2.65339384783187,
6.26,6.26,1,1,1,0,0,-0.468356097173237,-1.20913607738697,
6.28,6.28,1,1,1,0,0,-0.468256527615316,-2.10676338548765,
6.3,6.3,1,1,1,0,0,-0.468169057800141,-3.15297389453288,
6.32,6.32,1,1,1,0,0,-0.468084657624136,-3.39882442346195,
6.34,6.34,1,1,1,0,0,-0.468000227645809,-3.21926543422972,
6.36,6.36,1,1,1,0,0,-0.46791591687677,-3.08128068399815,
6.38,6.38,1,1,1,0,0,-0.467835331397985,-3.1510367436117,
6.4,6.4,1,1,1,0,0,-0.467754775721523,-3.31619748609326,
6.42,6.42,1,1,1,0,0,-0.467674190242738,-3.40538093427209,
6.44,6.44,1,1,1,0,0,-0.467593634566276,-3.3646262591227,
6.46,6.46,1,1,1,0,0,-0.467513049087491,-3.39958810795972,
6.48,6.48,1,1,1,0,0,-0.467432493411028,-3.55647870612395,
6.5,6.5,1,1,1,0,0,-0.467351907932244,-3.66421409966329,
6.52,6.52,1,1,1,0,0,-0.467271322453459,-3.69304784606697,
6.54,6.54,1,1,1,0,0,-0.467190766776997,-3.61835577689464,
6.56,6.56,1,1,1,0,0,-0.467110181298212,-3.59091901432834,
6.58,6.58,1,1,1,0,0,-0.46702962562175,-3.72018658541462,
6.6,6.6,1,1,1,0,0,-0.466949040142965,-3.80337231631827,
6.62,6.62,1,1,1,0,0,-0.466868484466503,-3.82427119452559,
6.64,6.64,1,1,1,0,0,-0.466787898987718,-3.92386682890575,
6.66,6.66,1,1,1,0,0,-0.466707343311256,-4.05266873871289,
6.68,6.68,1,1,1,0,0,-0.466626757832471,-4.11510460301854,
6.7,6.7,1,1,1,0,0,-0.466546202156009,-4.06121827979771,
6.72,6.72,1,1,1,0,0,-0.466464275572733,-4.07423816916216,
6.74,6.74,1,1,1,0,0,-0.466367984270235,-4.15641807170289,
6.76,6.76,1,1,1,0,0,-0.46626543448011,-4.16615970566227,
6.78,6.78,1,1,1,0,0,-0.466161841608714,-4.08597283339622,
6.8,6.8,1,1,1,0,0,-0.466058248737318,-4.06337894813287,
6.82,6.82,1,1,1,0,0,-0.465954655865922,-4.09046180812702,
6.84,6.84,1,1,1,0,0,-0.465851062994526,-4.14356582039892,
6.86,6.86,1,1,1,0,0,-0.46574747012313,-4.20950345752362,
6.88,6.88,1,1,1,0,0,-0.465643877251734,-4.26227219367455,
6.9,6.9,1,1,1,0,0,-0.465540284380338,-4.28862862207326,
6.92,6.92,1,1,1,0,0,-0.465436691508942,-4.20270480284833,
6.94,6.94,1,1,1,0,0,-0.465333098637546,-4.12160523447519,
6.96,6.96,1,1,1,0,0,-0.46522950576615,-4.16129820190816,
6.98,6.98,1,1,1,0,0,-0.465125912894754,-4.3005868037213,
7,7,1,1,1,0,0,-0.465022320023357,-4.41867850410847,
7.02,7.02,1,1,1,0,0,-0.464918756954283,-4.42193813306238,
7.04,7.04,1,1,1,0,0,-0.464815164082887,-4.31179992732273,
7.06,7.06,1,1,1,0,0,-0.464711571211491,-4.23274926857775,
7.08,7.08,1,1,1,0,0,-0.464607978340095,-4.28397200928197,
7.1,7.1,1,1,1,0,0,-0.464504385468699,-4.41949806795974,
7.12,7.12,1,1,1,0,0,-0.464400792597303,-4.51408318697647,
7.14,7.14,1,1,1,0,0,-0.464297199725907,-4.52725208795024,
7.16,7.16,1,1,1,0,0,-0.464193606854511,-4.4784507858975,
7.18,7.18,1,1,1,0,0,-0.464090013983115,-4.38388429333194,
7.2,7.2,1,1,1,0,0,-0.463986421111719,-4.40642229924179,
7.22,7.22,1,1,1,0,0,-0.463882828240322,-4.48331228965161,
7.24,7.24,1,1,1,0,0,-0.463779235368926,-4.5153497856557,
7.26,7.26,1,1,1,0,0,-0.46367564249753,-4.47051591770114,
7.28,7.28,1,1,1,0,0,-0.463572049626134,-4.4643319359143,
7.3,7.3,1,1,1,0,0,-0.463468456754738,-4.45595003288998,
7.32,7.32,1,1,1,0,0,-0.463364863883342,-4.41573552482438,
7.34,7.34,1,1,1,0,0,-0.463261271011946,-4.37291331359565,
7.36,7.36,1,1,1,0,0,-0.46315767814055,-4.40329305544604,
7.38,7.38,1,1,1,0,0,-0.463054115071476,-4.46338198690488,
7.4,7.4,1,1,1,0,0,-0.46295052220008,-4.50775019358031,
7.42,7.42,1,1,1,0,0,-0.462846929328684,-4.54239539274753,
7.44,7.44,1,1,1,0,0,-0.462743336457287,-4.57324079587705,
7.46,7.46,1,1,1,0,0,-0.462639743585891,-4.55982975103813,
7.48,7.48,1,1,1,0,0,-0.462536150714495,-4.51590857919066,
7.5,7.5,1,1,1,0,0,-0.462432557843099,-4.4855102108891,
7.52,7.52,1,1,1,0,0,-0.462328964971703,-4.47617835885535,
7.54,7.54,1,1,1,0,0,-0.462225372100307,-4.50192011436561,
7.56,7.56,1,1,1,0,0,-0.462121779228911,-4.55468885051654,
7.58,7.58,1,1,1,0,0,-0.462018186357515,-4.56944099983935,
7.6,7.6,1,1,1,0,0,-0.461914593486119,-4.52924511822492,
7.62,7.62,1,1,1,0,0,-0.461811000614723,-4.43812451912491,
