"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
2.36,2.36,1,1,1,0,0,-0.488234663203557,4429.77927295648,
2.38,2.38,1,1,1,0,0,-0.488142574028467,4460.70335421572,
2.4,2.4,1,1,1,0,0,-0.488050514655698,4491.62713745174,
2.42,2.42,1,1,1,0,0,-0.487958425480608,4522.55002661811,
2.44,2.44,1,1,1,0,0,-0.487866336305518,4553.43536485893,
2.46,2.46,1,1,1,0,0,-0.487774247130427,4584.32100112296,
2.48,2.48,1,1,1,0,0,-0.487682187757659,4615.206637387,
2.5,2.5,1,1,1,0,0,-0.487590098582569,4646.05412667905,
2.52,2.52,1,1,1,0,0,-0.487498009407478,4676.18457210705,
2.54,2.54,1,1,1,0,0,-0.487405920232388,4706.22590859267,
2.56,2.56,1,1,1,0,0,-0.48731386085962,4736.26724507829,
2.58,2.58,1,1,1,0,0,-0.48722177168453,4766.30887958714,
2.6,2.6,1,1,1,0,0,-0.487129682509439,4796.8383781049,
2.62,2.62,1,1,1,0,0,-0.487037623136671,4828.12664373732,
2.64,2.64,1,1,1,0,0,-0.486942762345631,4859.51087284615,
2.66,2.66,1,1,1,0,0,-0.486840838404269,4890.08120054486,
2.68,2.68,1,1,1,0,0,-0.486737245532873,4919.93061007767,
2.7,2.7,1,1,1,0,0,-0.486633652661477,4949.78031763371,
2.72,2.72,1,1,1,0,0,-0.486530059790081,4979.63002518975,
2.74,2.74,1,1,1,0,0,-0.486426466918685,5009.47943472256,
2.76,2.76,1,1,1,0,0,-0.486322874047289,5039.32884425538,
2.78,2.78,1,1,1,0,0,-0.486219281175893,5069.17884983463,
2.8,2.8,1,1,1,0,0,-0.486115688304497,5098.74752149549,
2.82,2.82,1,1,1,0,0,-0.4860120954331,5127.98359924434,
2.84,2.84,1,1,1,0,0,-0.485908502561704,5157.21908094675,
2.86,2.86,1,1,1,0,0,-0.485804909690308,5186.4551586956,
2.88,2.88,1,1,1,0,0,-0.485701316818912,5215.78600782798,
2.9,2.9,1,1,1,0,0,-0.485597723947516,5246.0687431207,
2.92,2.92,1,1,1,0,0,-0.48549413107612,5276.43432886821,
2.94,2.94,1,1,1,0,0,-0.485390538204724,5305.00819902523,
2.96,2.96,1,1,1,0,0,-0.485286945333328,5333.09271505725,
2.98,2.98,1,1,1,0,0,-0.485183352461932,5361.87222123514,
3,3,1,1,1,0,0,-0.485079789392858,5391.22333594638,
3.02,3.02,1,1,1,0,0,-0.484976196521462,5420.57385461119,
3.04,3.04,1,1,1,0,0,-0.484872603650065,5449.92496932244,
3.06,3.06,1,1,1,0,0,-0.484769010778669,5479.27608403368,
3.08,3.08,1,1,1,0,0,-0.484665417907273,5508.62660269849,
3.1,3.1,1,1,1,0,0,-0.484561825035877,5537.91215230164,
3.12,3.12,1,1,1,0,0,-0.484458232164481,5565.63963651772,
3.14,3.14,1,1,1,0,0,-0.484354639293085,5593.07207774734,
3.16,3.16,1,1,1,0,0,-0.484251046421689,5621.18162772972,
3.18,3.18,1,1,1,0,0,-0.484147453550293,5650.07199854495,
3.2,3.2,1,1,1,0,0,-0.484043860678897,5678.96236936017,
3.22,3.22,1,1,1,0,0,-0.483940267807501,5707.85274017539,
3.24,3.24,1,1,1,0,0,-0.483836674936105,5736.74311099062,
3.26,3.26,1,1,1,0,0,-0.483733082064709,5765.63348180584,
3.28,3.28,1,1,1,0,0,-0.483629489193312,5794.60074261148,
3.3,3.3,1,1,1,0,0,-0.483525896321916,5823.90894197924,
3.32,3.32,1,1,1,0,0,-0.48342230345052,5852.61036607384,
3.34,3.34,1,1,1,0,0,-0.483318710579124,5880.73362512428,
3.36,3.36,1,1,1,0,0,-0.48321514751005,5908.85688417472,
3.38,3.38,1,1,1,0,0,-0.483111554638654,5936.97954717872,
3.4,3.4,1,1,1,0,0,-0.483007961767258,5964.8429299825,
3.42,3.42,1,1,1,0,0,-0.482904368895862,5992.41067375339,
3.44,3.44,1,1,1,0,0,-0.482800776024466,6019.95874799185,
3.46,3.46,1,1,1,0,0,-0.48269718315307,6047.38284457135,
3.48,3.48,1,1,1,0,0,-0.482593590281673,6074.24188912831,
3.5,3.5,1,1,1,0,0,-0.482489997410277,6101.09854949951,
3.52,3.52,1,1,1,0,0,-0.482386404538881,6128.3402558692,
3.54,3.54,1,1,1,0,0,-0.482282811667485,6157.28427086378,
3.56,3.56,1,1,1,0,0,-0.482179218796089,6186.4047156038,
3.58,3.58,1,1,1,0,0,-0.482075625924693,6215.52516034382,
3.6,3.6,1,1,1,0,0,-0.481972033053297,6243.79266263208,
3.62,3.62,1,1,1,0,0,-0.481868440181901,6270.89668227476,
3.64,3.64,1,1,1,0,0,-0.481764847310505,6297.48512174919,
3.66,3.66,1,1,1,0,0,-0.481661254439109,6322.52086025449,
3.68,3.68,1,1,1,0,0,-0.481557661567713,6347.42129621852,
3.7,3.7,1,1,1,0,0,-0.481454098498639,6372.70320190242,
3.72,3.72,1,1,1,0,0,-0.481350505627242,6398.33200661282,
3.74,3.74,1,1,1,0,0,-0.481246912755846,6423.96140736965,
3.76,3.76,1,1,1,0,0,-0.48114331988445,6449.5526611545,
3.78,3.78,1,1,1,0,0,-0.481039727013054,6475.04020285927,
3.8,3.8,1,1,1,0,0,-0.480936134141658,6500.51582363528,
3.82,3.82,1,1,1,0,0,-0.480832541270262,6525.94852906781,
3.84,3.84,1,1,1,0,0,-0.480728948398866,6550.96638617999,
3.86,3.86,1,1,1,0,0,-0.48062535552747,6575.98185910643,
3.88,3.88,1,1,1,0,0,-0.480521762656074,6601.62794916351,
3.9,3.9,1,1,1,0,0,-0.480418169784678,6630.78534878263,
3.92,3.92,1,1,1,0,0,-0.480314576913282,6660.63475831545,
3.94,3.94,1,1,1,0,0,-0.480210984041885,6689.20982056535,
3.96,3.96,1,1,1,0,0,-0.480107391170489,6714.29979929644,
3.98,3.98,1,1,1,0,0,-0.480003798299093,6738.93141831726,
4,4,1,1,1,0,0,-0.479900205427697,6763.56303733808,
4.02,4.02,1,1,1,0,0,-0.479796612556301,6788.52605817803,
4.04,4.04,1,1,1,0,0,-0.479693019684905,6815.41848133548,
4.06,4.06,1,1,1,0,0,-0.479589456615831,6842.81277559312,
4.08,4.08,1,1,1,0,0,-0.479485863744435,6867.54989483334,
4.1,4.1,1,1,1,0,0,-0.479382270873039,6890.87080773856,
4.12,4.12,1,1,1,0,0,-0.479283237756914,6918.26390990333,
4.14,4.14,1,1,1,0,0,-0.479187304082281,6946.96235376575,
4.16,4.16,1,1,1,0,0,-0.47909140020997,6975.52847531909,
4.18,4.18,1,1,1,0,0,-0.478995466535337,7002.11333851489,
4.2,4.2,1,1,1,0,0,-0.478900993174484,7028.0556636513,
