"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)",
2.24,2.24,1,1,1,0,0,-0.498704963992749,4401.48941892682,
2.26,2.26,1,1,1,0,0,-0.498601371121353,4444.12491860906,
2.28,2.28,1,1,1,0,0,-0.498497778249957,4486.96516024251,
2.3,2.3,1,1,1,0,0,-0.498394185378561,4526.77748597456,
2.32,2.32,1,1,1,0,0,-0.498290592507165,4564.98674481352,
2.34,2.34,1,1,1,0,0,-0.498189711647074,4603.12358401035,
2.36,2.36,1,1,1,0,0,-0.498089933472898,4642.24717808411,
2.38,2.38,1,1,1,0,0,-0.497990185101045,4682.62276769939,
2.4,2.4,1,1,1,0,0,-0.497892791112632,4722.53403714002,
2.42,2.42,1,1,1,0,0,-0.497796857437999,4759.36315045345,
2.44,2.44,1,1,1,0,0,-0.497700953565688,4795.46657722948,
2.46,2.46,1,1,1,0,0,-0.497605019891055,4831.57000400552,
2.48,2.48,1,1,1,0,0,-0.497509116018744,4867.90529284565,
2.5,2.5,1,1,1,0,0,-0.497413182344111,4905.6538077886,
2.52,2.52,1,1,1,0,0,-0.497317278471801,4944.66802734111,
2.54,2.54,1,1,1,0,0,-0.497221344797168,4984.66363735262,
2.56,2.56,1,1,1,0,0,-0.497125440924857,5024.79544397505,
2.58,2.58,1,1,1,0,0,-0.497029507250224,5064.92784664391,
2.6,2.6,1,1,1,0,0,-0.496933603377913,5104.78964423025,
2.62,2.62,1,1,1,0,0,-0.49683766970328,5143.95347143853,
2.64,2.64,1,1,1,0,0,-0.496741765830969,5182.27448898448,
2.66,2.66,1,1,1,0,0,-0.496645861958658,5219.13936508415,
2.68,2.68,1,1,1,0,0,-0.496549928284025,5255.45766660082,
2.7,2.7,1,1,1,0,0,-0.496454024411715,5291.96849111674,
2.72,2.72,1,1,1,0,0,-0.496358090737082,5330.3759353961,
2.74,2.74,1,1,1,0,0,-0.496262186864771,5369.08855545135,
2.76,2.76,1,1,1,0,0,-0.496166253190138,5407.8011755066,
2.78,2.78,1,1,1,0,0,-0.496070349317827,5446.50902719035,
2.8,2.8,1,1,1,0,0,-0.495974415643194,5483.97173786662,
2.82,2.82,1,1,1,0,0,-0.495878511770883,5519.84717688039,
2.84,2.84,1,1,1,0,0,-0.49578257809625,5554.21879073289,
2.86,2.86,1,1,1,0,0,-0.495686674223939,5586.75398551211,
2.88,2.88,1,1,1,0,0,-0.495590740549306,5616.24576718256,
2.9,2.9,1,1,1,0,0,-0.495494836676996,5642.98500640562,
2.92,2.92,1,1,1,0,0,-0.495398903002363,5666.56043113957,
2.94,2.94,1,1,1,0,0,-0.495302999130052,5684.28089172007,
2.96,2.96,1,1,1,0,0,-0.495207095257741,5691.11992854148,
2.98,2.98,1,1,1,0,0,-0.495111161583108,5683.67650063266,
3,3,1,1,1,0,0,-0.495015257710797,5660.88666510305,
3.02,3.02,1,1,1,0,0,-0.494919324036164,5621.10950611081,
3.04,3.04,1,1,1,0,0,-0.494823420163853,5565.03405333743,
3.06,3.06,1,1,1,0,0,-0.49472748648922,5504.30466998174,
3.08,3.08,1,1,1,0,0,-0.494631582616909,5453.90000301269,
3.1,3.1,1,1,1,0,0,-0.49452867519892,5421.58236518308,
3.12,3.12,1,1,1,0,0,-0.494417423130761,5402.05111552611,
3.14,3.14,1,1,1,0,0,-0.49430614126028,5386.47403793409,
3.16,3.16,1,1,1,0,0,-0.49419488919212,5372.32508760581,
3.18,3.18,1,1,1,0,0,-0.494083607321639,5361.68208242164,
3.2,3.2,1,1,1,0,0,-0.49397235525348,5353.31120625641,
3.22,3.22,1,1,1,0,0,-0.493861073382999,5346.46382478487,
3.24,3.24,1,1,1,0,0,-0.493749821314839,5341.32411635616,
3.26,3.26,1,1,1,0,0,-0.49363856924668,5338.02559537222,
3.28,3.28,1,1,1,0,0,-0.493527287376199,5336.17785141664,
3.3,3.3,1,1,1,0,0,-0.493416035308039,5335.44471429878,
3.32,3.32,1,1,1,0,0,-0.493304753437558,5336.46693393872,
3.34,3.34,1,1,1,0,0,-0.493193501369399,5338.98165385763,
3.36,3.36,1,1,1,0,0,-0.493082219498918,5341.62929213205,
3.38,3.38,1,1,1,0,0,-0.492970967430758,5343.3310047105,
3.4,3.4,1,1,1,0,0,-0.492859715362599,5342.68250618673,
3.42,3.42,1,1,1,0,0,-0.492748433492118,5340.97066081885,
3.44,3.44,1,1,1,0,0,-0.492637181423959,5339.24451033647,
3.46,3.46,1,1,1,0,0,-0.492530250692494,5338.15076512405,
3.48,3.48,1,1,1,0,0,-0.492432856704082,5338.66574924587,
3.5,3.5,1,1,1,0,0,-0.492336952831771,5340.62495388522,
3.52,3.52,1,1,1,0,0,-0.49224104895946,5343.82393511413,
3.54,3.54,1,1,1,0,0,-0.492145145087149,5347.42405559534,
